6.014,111.653
240.82,119.465
151.16,194.297
240.275,171.866
274.414,71.245
270.635,82.688
151.523,47.733
48.512,39.739
141.237,11.395
254.739,151.829
193.303,184.666
268.972,93.164
235.0,27.553
110.129,32.476
129.937,51.361
53.819,47.427
139.598,13.87
217.897,14.267
159.22,188.666
270.765,85.29
214.595,126.135
305.666,144.656
163.983,176.255
19.708,36.95
303.835,79.483
156.852,133.103
1.943,190.517
148.574,14.465
263.699,6.78
16.382,181.048
273.761,135.164
132.315,54.31
92.463,4.012
88.875,5.217
53.855,70.587
293.664,41.495
21.377,163.085
98.882,56.391
176.828,189.079
281.138,48.51
48.764,91.525
301.011,19.103
217.205,53.631
163.636,24.957
240.756,48.832
178.25,166.027
112.859,145.032
297.535,191.501
180.025,44.82
166.949,72.704
196.765,74.175
265.297,18.938
8.25,115.343
64.96,51.334
11.182,83.646
292.552,188.503
282.621,79.289
18.661,46.087
114.017,162.453
274.194,42.804
14.084,173.632
286.666,8.737
70.128,65.368
29.92,55.021
197.284,186.296
27.307,62.269
251.828,96.283
247.679,12.815
230.032,81.31
103.612,102.329
152.786,127.375
310.524,183.391
137.426,172.681
86.489,194.911
90.539,102.867
146.921,23.619
46.444,138.707
260.92,51.468
114.058,25.303
55.01,104.221
104.47,10.784
305.747,107.499
25.63,173.177
276.45,61.275
78.047,160.592
257.336,14.972
184.006,74.651
138.313,19.227
12.171,196.9
108.999,117.267
58.953,128.829
87.414,64.397
113.599,92.667
121.674,171.323
59.66,139.048
104.762,195.632
285.828,27.338
49.047,50.03
285.309,131.832
184.533,3.86
